id,value
language,Idiom
home.title,Microfinance Tseeltal.
home.text,"Lorem Ipsum Pain Sit AMET, Accommodation Adipiscing Elit, SED ON EIUSMOD INCIDIDUNT UT Labore et Daree Magna Aiqua. UT ENIM AD MINIM VENIAM, KIS NOSTROT EXERCITATION ULLAMCO Laboris Nisi UT Aiquip Ex EA Consequat Commod. Duisa Aute Irure Pain in Reprehenderit in Voluptate Velit Esse Cillum Dolece Eu Fugiat Nulla Pariatur. Exceteur Sint Occaecat Cupidatat Non ProInt, Sunt In Blame Qui Official Dessert Mollit Anim ID Est Laborum."
conocenos.title,know us
conocenos.text,Here is the story of how they know us
origen.title,Our origin
origen.text,"Lorem Ipsum Pain Sit AMET, Accommodation Adipiscing Elit, SED ON EIUSMOD INCIDIDUNT UT Labore et Daree Magna Aiqua. UT ENIM AD MINIM VENIAM, KIS NOSTROT EXERCITATION ULLAMCO Laboris Nisi UT Aiquip Ex EA Consequat Commod. Duisa Aute Irure Pain in Reprehenderit in Voluptate Velit Esse Cillum Dolece Eu Fugiat Nulla Pariatur. Exceteur Sint Occaecat Cupidatat Non ProInt, Sunt In Blame Qui Official Dessert Mollit Anim ID Est Laborum."
publicaciones.title,Publications of Social Economy and Solidarity
publicaciones.text1,"Lorem Ipsum Pain Sit AMET, Accommodation Adipiscing Elit, SED ON EIUSMOD INCIDIDUNT UT Labore et Daree Magna Aiqua. UT ENIM AD MINIM VENIAM, KIS NOSTROT EXERCITATION ULLAMCO Laboris Nisi UT Aiquip Ex EA Consequat Commod. Duisa Aute Irure Pain in Reprehenderit in Voluptate Velit Esse Cillum Dolece Eu Fugiat Nulla Pariatur. Exceteur Sint Occaecat Cupidatat Non ProInt, Sunt In Blame Qui Official Dessert Mollit Anim ID Est Laborum."
publicaciones.text2,"Lorem Ipsum Pain Sit AMET, Accommodation Adipiscing Elit, SED ON EIUSMOD INCIDIDUNT UT Labore et Daree Magna Aiqua. UT ENIM AD MINIM VENIAM, KIS NOSTROT EXERCITATION ULLAMCO Laboris Nisi UT Aiquip Ex EA Consequat Commod. Duisa Aute Irure Pain in Reprehenderit in Voluptate Velit Esse Cillum Dolece Eu Fugiat Nulla Pariatur. Exceteur Sint Occaecat Cupidatat Non ProInt, Sunt In Blame Qui Official Dessert Mollit Anim ID Est Laborum."
contacto.title,Contact
contacto.text,You can write any questions or comments to:
acceder.pswd-help,I forgot my password
acceder.submit,Submit
layout.chooseLanguage,Language
menu.start,Home
menu.us,About us
menu.origin,Our origin
menu.publication,Publications
menu.contact,Contact
menu.login,Login
pmenu.socios,Partners
pmenu.movimientos,Contributions
pmenu.acopios,ACPOIOS.
pmenu.solicitudes,Requests
pmenu.tsumbalil,Tsumbalil.
pmenu.logout,Sign off
socios.title,Partners
socios.clave,Key code
socios.claveCafe,Key TX.
socios.nombre,Name
apellido_paterno,
apellido_materno,Mother's last name
socios.region,Region
socios.comunidad,Community
socios.ingreso-ya,Income
socios.cafe,Coffee
socios.miel,Honey
socios.jabon,Soap
socios.trabajador,TRBJR.
socios.general,CMSC.
socios.newSocioButton,New partner
approveButton,Pass
disapproveButton,Reject
saveButton,Keep
editButton,Edit
cancelButton,
socioForm.title,Partner
socioForm.age,years
nombres,Names
apellidos,Surnames
socioForm.comunidad,Community - Region
socioForm.curp,curp
telefono,Telephone
socioForm.genero,Gender
socioForm.fecha_nacimiento,Date of birth
socioForm.fecha_ingr_yomol_atel,Date of entry to Yomol A'Tel
socioForm.fecha_ingr_programa,Date of entry to Program
socioForm.cargo,Position
socioForm.cargoCoop,Cooperative charge
socioForm.clave_anterior,Key Coffee.
socioForm.estatus_cafe,Coffee status.
socioForm.estatus_miel,Honey status
socioForm.estatus_yip,STATUS YIP ANTESTIC
socioForm.estatus_trabajador,Worker status.
socioForm.estatus_comonSit,STATUS ASSIT.
socioForm.doc_ine,Copy of INE.
socioForm.doc_act_nac,Copy of Act Birth
socioForm.doc_curp,Copy of Curp.
socioForm.doc_domicilio,Copy voucher address
empresa,Business
solicitudes.title,Requests
solicitudes.new,New request
solicitudes.folio_solicitud,Invoice
solicitudes.fecha_solicitud,Date
clave_socio,Key partner
solicitudes.tipo_credito,Credit type
solicitudes.monto_solicitado,Amount
plazo_de_pago_solicitado,Term
solicitudes.estatus_solicitud,Status
solicitudes.estatus_evaluacion,Evaluation status
solicitudes.disapprove,Reject
solicitudes.goToMesaControl,Control desk
solicitudForm.title,New request
searchSocio,Search partner.
solicitudForm.fecha_solicitud,Application date
solicitudForm.tipo_credito,Credit type
solicitudForm.act_productiva,Productive activity
solicitudForm.other,OTHER
solicitudForm.motivo_credito,Credit motive
solicitudForm.emergencia_medica,Medical emergency
solicitudForm.monto_solicitado,Amount requested
solicitudForm.plazo_de_pago_solicitado,Requested payment term
solicitudForm.justificacion_credito,Justification of credit
solicitudForm.comentarios_promotor,Promoter's comments
solicitudForm.pregunta_1,Control Table - Question 1
solicitudForm.pregunta_2,Control Table - Question 2
solicitudForm.pregunta_3,Control Table - Question 3
solicitudForm.pregunta_4,Control Table - Question 4
mesaControl.irregularidades,Irregularities
solicitudForm.aval,ADVAL partner
solicitudForm.familiar_responsable,Responsible family
tsumbalil.title,Ts'Umbalil.
tsumbalil.nombre_de_comunidad,Community
tsumbalil.nombre_region,Region
tsumbalil.newComunidad,New community
tsumbalil.id,#
comunidadForm.title,Community
comunidadForm.nombre_de_comunidad,Community name
perfil.title,Profile
buscar,Look for
apagar,to turn off
all,everyone
sociosXLSX,Download partners.xlsx.
acopiosXLSX,Download ACOPIOS.XLSX.
comunidad,Community
region,Region
kilos,Kilos
acopios.tipo_producto,Kind of product
ingreso,Entry
fecha,Date
clave,Key partner
acopios.title,ACPOIOS.
acopios.newAcopio,New collection
selectSocio,Choose a partner
acopioForm.ingreso,Entry
acopioForm.kilos_de_producto,Kilos of product
tipo_de_producto,Kind of product
acopioForm.title,A collection form
acopioForm.avg_price,Average price
movimientos.title,Contributions
movimientos.newMovimiento,New Contribution
movimientos.actualizar,Find contributions
movimientos.aportacion_retiro,Kind
movimientos.monto,amount
movimientos.fecha_banco,Date of bank
movimientos.tipo,Type of contribution
movimientos.saldo,Balance
movimientos.buscarSocio,Search by partner
movimientos.buscarComunidad,Search by community
empresa,Business
movimientosForm.proceso,Process
movimientosForm.fecha_entrega,Delivery date
movimientosForm.monto,Amount
movimientosForm.fecha_banco,Bank date
movimientosForm.title,Contribution or Retiro.
movimientosForm.responsable_entrega,Who handed the money?
movimientosForm.referencia_banco,Bank reference
error.title,Server error.
error.message1,The changes were not saved correctly.
mesaControl.title,Control desk
mesaControl.solicitud,Request
mesaControl.datos,Applicant details
mesaControl.descripcion,Description
mesaControl.ingresos_de_cooperativa,Income that come from the cooperative
mesaControl.tiempoSolicitud,Credit application time
mesaControl.observaciones,Observations
mesaControl.promotResponsable,Promoter that capture request
porc_acopio_por_anio,% compliance with collection per year
mesaControl.familiaresYA,Family at Yomol A'Tel
mesaControl.obsPromotor,Observations of the promoter
mesaControl.revisionCoord,Revision of the coordinator
mesaControl.pregunta_1,Is the file complete?
mesaControl.pregunta_2,Is the file properly developed and conition the data with the physical file?
mesaControl.pregunta_3,Is the requested product identified and its specifications?
mesaControl.pregunta_4,Does the file meet with the credit criteria?
mesaControl.comentarios_coordinador,Comments from the coordinator
cargo,Position
cargo_coop,Charge in the cooperative
cargo_mision,Position in the mission
fecha_ingr_yomol_atel,Year of entry
aval,Aval
justificacion,Justification
tipo_credito_nombre,Credit type
interes_mensual,Interest monthly
forma_pago,Way to pay
nombre_productor,Producer Name
area_proceso,Area / process
monto_solicitado,Amount requested
act_productiva_nombre,Productive activity
mot_credito_nombre,Reason for credit
fecha_solicitud,Application date
aval_nombre,Aval
familiar_responsable,Responsible family
justificacion_credito,Justification
promotor,Promoter
irregularidades,Irregularities
proceso_nombre,Process
preguntas_mesa,Questions Table Control
graph_montoVsacopios,Historic VS Acoped Requested
cafe,Coffee
miel,Honey
jabon,Soap
salarios,Salaries
language.es,Spanish
language.tz,TSELTAL.
pmenu.inicio,Start
pmenu.bancos,Banks
pmenu.reportes,Reports
pmenu.formatos,Formats
pmenu.registro,Registry
pmenu.creditos,Credits
pmenu.pagos,Payments
pmenu.cuentas,Accounts
pmenu.datos,Data
socios.evaluacionSocio,Credit assessment
movimientos.empresa,Business
solicitudes.allCreditsTrue,Everyone
solicitudes.allCreditsFalse,in Review
searchSocioAval,Search guarantee
searchCredito,Search credit
searchDeuda,Calculate debt on this date
acopiosXLSX.ALL,Everyone
acopiosXLSX.CF,Coffee
acopiosXLSX.MI,Honey
acopiosXLSX.JA,Soap
acopiosXLSX.SL,Salaries
movimientos.aportacion,INPUT
movimientos.retiro,RETIREMENT
movimientos.vacio,There are no registered movements
tipo_credito,Credit type
proceso,Process
solicitudForm.elige,Choose a partner
solicitudes.goToEvaluacion,Evaluation
evaluacion.solvencia,Solvency
evaluacion.volumenIngresosPresente,Volume of income of this year
evaluacion.volumenIngresosAnterior,Volume of income of the previous year
evaluacion.nivelSolvencia,Solvency level
evaluacion.ultimoCredito,Last credit
evaluacion.UltimoCreditoMonto,Last credit amount
evaluacion.UltimoCreditoEstatus,Last credit status
evaluacion.UltimoCreditoVida,Life of the last credit
evaluacion.UltimoCreditoTotal,Total pending debt
evaluacion.morosidad,Delinquency
evaluacion.morosidadSocio,Partner delinquency
evaluacion.morosidadComunidad,Community delinquency
evaluacion.morosidadRegion,Delinquency of the region
evaluacion.posibleCredito,Possible credit
evaluacion.nivelRiesgo,Risk level
evaluacion.montoSugerido,Suggested amount
evaluacion.montoAprobado,Amount approved
evaluacion.plazoPagoAprobado,Approved payment
evaluacion.comentariosGerente,Manager's comments
evaluacion.tasa_aprobada,Approved rate
evaluacion.tasa_mor_aprobada,Moratorium rate
negotiateButton,Negotiate
evaluacion.30saldo,Option 30% =
evaluacion.50saldo,Option 50% =
mesaControl.evaluacion,Evaluation
comentariosPromotor,Comments for re-negotiation
reNegotiateButton,Request renegotiation
creditos.title,Credit contracts
creditos.fecha_inicio,Start
creditos.pagado,Paid out
monto,Amount
plazo,Term months
tasa,Rate
tasa_moratoria,Moratorium rate
estatus,Status
fecha_inicio,Start date
id,Invoice
total,Total
creditos.estatus_ejecucion,Execution
creditos.deuda_al_dia,Total debt today
creditos.interes_ordinario,Ordinary interest
creditos.interes_moratorio,Interest on arrears
creditos.status.PA,Paid out
creditos.status.VE,Defeated
creditos.status.VI,Current
creditos.status.DP,-
creditos.status.CO,Executed
creditos.status.PC,Receivable
creditos.status.CA,Cancelled
contratoDetail.title,I'll pay for unique payment
contratoDetail.datos,Borrower's data
contratoDetail.especificaciones,Credit specifications
contratoDetail.informacion,Information about the payment of credit
contratoDetail.texto1,Signing this I promise I am committed to paying in time and form the loan that Comon Sit Ca'tetic has made me.
contratoDetail.firma,Name and signature of the Borrower (A)
contratoDetail.graphTitle,Debt
intereses,Interests
contratoDetail.prestamo,Loan
creditos.condonacionButton,Condonate interests
creditos.prorrogaButton,Extension
creditos.imprimirContratoButton,Print Contract
creditos.iniciarContrato,Activate contract
creditos.datosCobro,Collection data
creditos.registrarPago,Register payment
creditos.fecha_vencimiento,Expiration
creditos.allCreditsTrue,Everyone
creditos.allCreditsFalse,With debt.
creditos.vida_credito,Life of credit
creditos.cartera_vigente,Days in the current portfolio
creditos.cartera_vencida,Days in pastate wallet
creditos.imprimirContrato,Print Contract
creditos.historialCredito,Record
contratosXLSX,Download contracts.xlsx.
contratosXLSX.ALL,All
contratosXLSX.1,Region 1.
contratosXLSX.2,Region 2.
contratosXLSX.3,Region 3.
contratosXLSX.4,Region 4.
contratosXLSX.5,Region 5.
contratosXLSX.6,Region 6.
contratosXLSX.7,Region 7.
contratosXLSX.8,Region 8.
contratosXLSX.9,Region 9.
contratosXLSX.10,Region 10.
contratoUpdateForm.title,Activate credit
contratoUpdateForm.supportText,Registers the start date to activate the credit
contratoActivate.fechaFirma,Date of credit signature
contratoActivate.tipo_tasa,Type of rate
contratoActivate.estatus_ejecucion,Status Execution (capital delivery)
contratoActivate.referencia_banco,Bank reference
contratoActivate.fecha_banco,Check Date / Transfer
contratoActivate.actualizar,Update credit data
contratoActivate.iva,Disaggregate VAT.
contratoPrint.gerente,Manager who will sign
contratoPrint.title,Print Contract
contratoPrint.supportText,Choose the details for printing your contract
contratoPrint.imprimir,To print
contratoPrint.vistaPrevia,Preview of the print
puesto,Position
fuente,Income source
pagos.id,# Pay
pagos.title,Payments
pagos.selectedPago,Details of payment
pagos.folio,Invoice
pagos.credito,Credit
pagos.fecha_pago,Payment date
pagos.autor,User registered the payment
pagos.cantidad,Quantity
pagos.fecha_banco,Date of bank
pagos.referencia_banco,Banking reference
pagos.interes_ord,Amortization to ordinary interests
pagos.interes_mor,Amortization to Moratorios Interest
pagos.abono_capital,Amortization to capital
pagos.estatus_previo,Collection / credit status at the time of payment
pagos.deuda_prev_total,Total debt at the time of payment
pagos.deuda_prev_int_ord,Ordinary interest at the time of payment
pagos.deuda_prev_int_mor,Moratorium interest at the time of payment
credito,Credit
cantidad,Quantity
tipo_tasa,Type of rate
pagos.fecha_pago,Payment date
pagoForm.title,Way to pay
pagos.elige,Choose a credit to pay
pagos.deuda_pend,pending debt
pagos.cap_pend,Pending capital
pagos.intOrd_pend,Ordinary pending interest
pagos.intMor_pend,Pending moratorium interest
pagoForm.editBankInfo,Edit banking data
cartera,Purse
creditoHistorial.diasTranscurridos,Days
creditoHistorial.pago,Pay
creditoHistorial.pago_interes_ord,Fertilizer Int Ord.
creditoHistorial.pago_interes_mor,Fertilizer Into Mor.
creditoHistorial.abono_capital,Capital fertilizer
creditoHistorial.saldoInsoluto,Total debt slope
creditoHistorial.pendienteIntOrd,Ordinary interest earning
creditoHistorial.pendienteIntMor,Pending moratorium interest
creditoHistorial.pendienteCapital,Capital pending
pagosXLSX,Download payments.xlsx.
confirmacionInfo,Confirm that the data is correct
enviar,Send
formatos.title,Formats
formatos.comprobantePago,Proof of payment
formatos.formActReg,Regional Format
