id,value
language,C'opojel
home.title,Tut smajanel Taqu'in
home.text,Quechel ta pasel
conocenos.title,Na'botic jbahtic
conocenos.text,Li' ay te sna'ojibal binut'il ya jna'bey jbahtic
origen.title,Jhahchibaltic
origen.text,Quechel ta pasel
publicaciones.title,Spucoji'bal ta halel lec stuquinel taqu'in ta jun pajal
publicaciones.text1,Quechel ta pasel
publicaciones.text2,Quechel ta pasel
contacto.title,Banti xhu' ya jchol jbahtic
contacto.text,Ts'ihbaybotic bin ya sc'an a wo'tan yaca wal ta:
acceder.pswd-help,Cha'y ta co'tan te smacojibal a'telil
acceder.submit,Ochel
layout.chooseLanguage,C'opojel
menu.start,Shachi'bal
menu.us,Jna'bey jbahtic
menu.origin,Shachibal talel
menu.publication,Chicnajtesbil ta spisil
menu.contact,Banti xhu' ya jchol jbahtic
menu.login,Sc'anel ochel
pmenu.socios,Jwohc' ants winiquetic
pmenu.movimientos,Yaqu'el tso'bil taqu'inetic
pmenu.acopios,Stso'bel a'tel
pmenu.solicitudes,Shunil c'ambajel
pmenu.tsumbalil,Ts'umbalil
pmenu.logout,Smaquel a'tel
socios.title,Jwohc' ants winiquetic
socios.clave,Yahtalul
socios.claveCafe,Yahtalul TX
socios.nombre,Sbihil
apellido_paterno,Sbahbeyal sjol sbihil
apellido_materno,Xche'bal sjol sbihil
socios.region,Jsehp squ'inalel
socios.comunidad,Comonal
socios.ingreso-ya,Ochel ta YA
socios.cafe,Capel
socios.miel,Cha'b
socios.jabon,Xapon
socios.trabajador,J'a'teletic
socios.general,Comon Sit Ca'teltic
socios.newSocioButton,Yach'il jwohc' ants winic
approveButton,Sc'asesel ta c'abal
disapproveButton,Ma' sohltesel
saveButton,Squ'ejel
editButton,Scha' pasel
cancelButton,Squehchanel ta spasel
socioForm.title,Jwohc ants winiquetic
socioForm.age,Ha'biletic
nombres,Bihililetic
apellidos,Sjol bihililetic
socioForm.comunidad,Comonal- Jsehp squ'inalel
socioForm.curp,Yahtalul ochel ta hun
telefono,C'opoji'bal
socioForm.genero,Ants/Winic
socioForm.fecha_nacimiento,Sc'ahc'alel ayinel ta bahlumilal
socioForm.fecha_ingr_yomol_atel,Sc'ahc'alel ochel ta Yomol A'tel
socioForm.fecha_ingr_programa,Sc'ahc'alel ochel ta jwohc' a'tel
socioForm.cargo,Ya'tel
socioForm.cargoCoop,Ya'tel ta snahul jwohc' a'tel
socioForm.clave_anterior,Yahtalul yu'un Capel
socioForm.estatus_cafe,Stalel yu'un Capel
socioForm.estatus_miel,Stalel yu'un Cha'b
socioForm.estatus_yip,Stalel yu'un Yip Antsetic
socioForm.estatus_trabajador,Stalel yu'un J'a'teletic
socioForm.estatus_comonSit,Stalel yu'un Comon Sit Ca'teltic
socioForm.doc_ine,Shunal sloc'ol sit elawil
socioForm.doc_act_nac,Shunal sc'ahc'alel ayinel ta bahlumilal
socioForm.doc_curp,Shunal yahtalul ochel ta hun
socioForm.doc_domicilio,Shunal schicnajibal ban hahchemtalel
empresa,Muc'ul a'tel
solicitudes.title,Shunal c'ambajeletic
solicitudes.new,Yach'il shunal c'ambajel
solicitudes.folio_solicitud,Yahtalul
solicitudes.fecha_solicitud,Sc'ahc'alel
clave_socio,Ya'talul jwohc ants winic
solicitudes.tipo_credito,Bintic yu'un te smajanel taqu'in
solicitudes.monto_solicitado,Hich yipal
plazo_de_pago_solicitado,Sc'ahc'alel
solicitudes.estatus_solicitud,Stalel
solicitudes.estatus_evaluacion,Stalel yocliyel
solicitudes.disapprove,Ma' sohltesel
solicitudes.goToMesaControl,Stso'bel xchahpanel a'tel
solicitudForm.title,Yach'il shunal c'ambajel
searchSocio,Scholel sbihil ants winic
solicitudForm.fecha_solicitud,Sc'ahc'alel shunil c'ambajel
solicitudForm.tipo_credito,Bintic yu'un te smajanel taqu'in
solicitudForm.act_productiva,Sp'ohltesel shachel a'tel
solicitudForm.other,Yan
solicitudForm.motivo_credito,Bin yu'un te smajanel taqu'in
solicitudForm.emergencia_medica,Ahnutic chamel
solicitudForm.monto_solicitado,Jayeb c'ambil
solicitudForm.plazo_de_pago_solicitado,Sc'ahc'alel sc'anel stojel betil
solicitudForm.justificacion_credito,Ban ya xtuquin te smajanel taqu'in
solicitudForm.comentarios_promotor,Sc'op tehc'ambil jyuc' a'tel
solicitudForm.pregunta_1,Stso'bel xchahpanel a'tel - sbahbeyal johc'oyel
